Company_Name,delivery_volumens,2021-11-12,2021-11-15,2021-11-16,2021-11-17
P and G,625,625,431,126,233
PI Industries,4226,4226,5726,25778,1901
PNB,981065,981065,1015327,680663,1171370
PNB Housing Fin,11178,11178,2856,2516,2138
PNC Infratech,4937,4937,3728,13627,30781
PTC India,23572,23572,114505,25057,41734
PVR,6209,6209,9739,11504,5264
Page Industries,195,195,112,144,158
Persistent,3679,3679,3998,7517,2331
Petronet LNG,39612,39612,54317,61552,58559
Pfizer,375,375,1084,273,907
Phillips Carbon,24720,24720,19832,11477,19608
Phoenix Mills,6126,6126,3102,1743,8453
Pidilite Ind,9087,9087,7633,4187,4235
Piramal Enter,5064,5064,10310,4028,3992
Poly Medicure,3435,3435,2381,331,9154
Polycab,29424,29424,3062,7944,1662
Power Finance,102429,102429,70454,36249,84769
Power Grid Corp,109577,109577,75739,320349,251869
Prestige Estate,8770,8770,63200,9909,17132
Prism Johnson,18533,18533,23244,7449,19806
Procter&Gamble,758,758,959,801,560
Quess Corp,3312,3312,4127,2066,3109
RBL Bank,186756,186756,102300,59436,124460
REC,65385,65385,108162,138588,126678
RHI Magnesita,3078,3078,4069,13577,2114
RITES,8286,8286,24890,10719,2484
Radico Khaitan,8209,8209,3178,15376,9352
Rail Vikas,486913,486913,809032,179049,424314
Rain Industries,12277,12277,71775,200901,27182
Rajesh Exports,6269,6269,2313,30766,67186
Rallis India,8647,8647,7276,22679,24363
Ramco Cements,5747,5747,3060,4789,6649
Rashtriya Chem,81995,81995,52326,39670,34954
Ratnamani Metal,154,154,81817,403,61042
Raymond,8516,8516,18410,9516,20685
Redington,117411,117411,90461,168734,1745249
Relaxo Footwear,9102,9102,6113,3170,4251
Reliance,195851,195851,167168,59444,116041
Responsive Ind,439,439,831,930,489
Rossari,663,663,1192,834,642
Route,2365,2365,4731,5867,2398
S H Kelkar,84769,84769,55657,54315,75351
SAIL,817344,817344,331849,910584,559475
SBI,276141,276141,163077,168332,516053
SBI Card,20271,20271,6773,23056,21179
SBI Life Insura,15533,15533,11861,6087,8858
SIS,4469,4469,11107,7719,13112
SJVN,196534,196534,250409,315851,184310
SKF India,532,532,410,1237,944
SOLARA ACTIVE P,6146,6146,22178,10413,56289
SRF,6211,6211,20091,7303,10720
SUMITOMO,12465,12465,10588,13136,23612
Sanofi India,137,137,908,412,102
Schaeffler Ind,222,222,475,493,129
Schneider Infra,22770,22770,32641,20119,43886
Sequent Scienti,61438,61438,51754,42385,36191
Sheela Foam,201,201,3415,3786,1248
Shilpa,4911,4911,3678,8336,2845
Shipping Corp,55758,55758,46993,16855,36322
Shoppers Stop,9494,9494,3114,3269,15272
Shree Cements,140,140,370,76,448
Shriram City,1181,1181,265,1055,239
Shriram Trans,26450,26450,10532,9882,12645
Siemens,10366,10366,4030,3816,128248
Sobha,4542,4542,5631,3316,8490
Solar Ind,5047,5047,1863,3753,936
Sonata,7781,7781,1318,1222,6936
Spandana Sphoor,1777,1777,1752,2224,5650
SpiceJet,35978,35978,299875,127581,1654937
Star Cement,14025,14025,10132,7089,12655
Sterling & Wils,9786,9786,12829,30660,50519
Sterlite Techno,8558,8558,10469,27041,134312
Strides Pharma,46339,46339,63215,24420,7026
Sudarshan Chem,1543,1543,4751,4319,3729
Sun Pharma,14286,14286,38997,20815,104806
Sun Pharma Adv,10401,10401,6874,7987,15205
Sun TV Network,30496,30496,11587,15640,18481
Sundram,3988,3988,2947,2026,1959
Sunteck Realty,16008,16008,6513,4385,19797
Supreme Ind,6261,6261,3630,3065,2803
Suven Pharma,3186,3186,3570,2328,3450
Swan Energy,964,964,8126,9538,5843
Symphony,1357,1357,1058,388,1748
Syngene Intl,6878,6878,11285,92589,35503
TATA Cons. Prod,168572,168572,69465,18860,16881
TCI Express,1323,1323,1205,2277,2524
TCNS Clothing C,4133,4133,1209,820,6238
TCS,51539,51539,114485,36194,51149
TML-D,257553,257553,218110,92607,125179
TTK Prestige,264,264,241,244,480
TV18 Broadcast,262843,262843,225886,273463,313427
TVS Motor,24511,24511,42919,49251,242129
Tanla Platforms,20959,20959,44455,42843,32044
Tasty Bite,21,21,73,654,472
Tata Chemicals,34438,34438,11277,7098,28430
Tata Coffee,62568,62568,19306,142337,128589
Tata Comm,6506,6506,6604,8018,6691
Tata Elxsi,6848,6848,6150,3176,3842
Tata Inv Corp,5157,5157,1483,2354,1784
Tata Metaliks,3487,3487,4011,5223,4211
Tata Motors,464159,464159,139437,211528,506682
Tata Power,1450433,1450433,1094534,1892113,2287500
Tata Steel,152776,152776,252307,175003,115871
TeamLease Ser.,461,461,277,2808,274
Tech Mahindra,17581,17581,79490,57751,35372
Thermax,23668,23668,11778,5825,20682
Thyrocare Techn,5088,5088,607,13732,7738
Timken,5420,5420,8269,853,385
Titan Company,17297,17297,10826,6824,18478
Torrent Pharma,13702,13702,8410,1039,1649
Torrent Power,3089,3089,10188,17740,14373
Trent,7366,7366,13054,7794,7158
Trident,1369360,1369360,1101760,1621668,4995096
Triveni Turbine,93397,93397,17636,55348,12175
Tube Investment,6637,6637,5053,5723,1369
UPL,61102,61102,10977,167022,16525
UTI AMC,1314,1314,1815,2720,4869
Uflex,3988,3988,16580,11621,6167
Ujjivan Financi,14519,14519,14013,146987,103438
Ujjivan Small,226633,226633,139775,2373,1405
UltraTechCement,837,837,851,506335,698267
Union Bank,702139,702139,468566,1722,5189
United Brewerie,3221,3221,2677,106366,269598
V-Guard Ind,10153,10153,13969,196,194
V-Mart Retail,681,681,363,9114,18909
VIP Industries,4584,4584,7914,4165,3750
VRL Logistics,30370,30370,6979,363,362
VST,87,87,304,17730,4708
Vaibhav Global,16432,16432,2261,264540,72275
Vakrangee,129035,129035,55375,1304,4919
Vardhman Text,4953,4953,3262,9713,10068
Varroc Engineer,4945,4945,21877,18853,8560
Varun Beverages,4628,4628,10464,515660,474445
Vedanta,886416,886416,657073,1504,1605
Venkys,739,739,1530,3856,611
Vinati Organics,1533,1533,2858,2456,6002
Voltas,2806,2806,8997,123,112
WABCO India,92,92,82,29596,110732
Welspun Corp,145380,145380,91988,57252,41959
Welspun India,15935,15935,39618,2436,3434
Westlife Dev,2338,2338,1317,4966,2034
Whirlpool,1935,1935,6679,204374,417609
Wipro,456807,456807,376111,14213,11189
Wockhardt,8996,8996,13704,133990,156321
Zee Entertain,126190,126190,66446,21632,37465
Zensar Tech,12786,12786,15953,1201,176
Zydus Wellness,285,285,518,6506,4490
